provinsi,jenis,daerah,tahun,periode,gk,gk_scaled,provinsi_encoded,jenis_encoded,daerah_encoded,periode_encoded,gk_category,cluster,pca1,pca2
ACEH,MAKANAN,PERDESAANPERKOTAAN,2020,MARET,397032.0,0.4227570176226097,0,0,1,0,Rendah,2,92121.2794516632,-16.29836156749563
ACEH,MAKANAN,PERDESAANPERKOTAAN,2020,SEPTEMBER,398316.0,0.42431473694682154,0,0,1,1,Rendah,2,93405.27945175587,-16.295536677441135
ACEH,MAKANAN,PERKOTAAN,2021,MARET,418047.0,0.44825193319761925,0,0,2,0,Menengah,2,113136.27945537085,-16.250792279554265
ACEH,MAKANAN,PERKOTAAN,2021,SEPTEMBER,426126.0,0.4580531905343074,0,0,2,1,Menengah,2,121215.27945539547,-16.233322723403102
ACEH,MAKANAN,PERKOTAAN,2022,MARET,448528.0,0.48523078266903796,0,0,2,0,Menengah,2,143617.2794586664,-16.182995827547522
ACEH,MAKANAN,PERKOTAAN,2022,SEPTEMBER,481276.0,0.5249599044987031,0,0,2,1,Menengah,2,176365.27945844404,-16.112359344547396
ACEH,MAKANAN,PERDESAAN,2021,MARET,406917.0,0.43474927270036223,0,0,0,0,Menengah,2,102006.2794548475,-16.275127937030284
ACEH,MAKANAN,PERDESAAN,2021,SEPTEMBER,414738.0,0.44423753035975544,0,0,0,1,Menengah,2,109827.27945487469,-16.258214425596258
ACEH,MAKANAN,PERDESAAN,2022,MARET,434104.0,0.46773191698957395,0,0,0,0,Menengah,2,129193.279458176,-16.214430753621393
ACEH,MAKANAN,PERDESAAN,2022,SEPTEMBER,462138.0,0.5017421222348661,0,0,0,1,Menengah,2,157227.27945800085,-16.153953940375455
ACEH,MAKANAN,PERDESAANPERKOTAAN,2021,MARET,410420.0,0.438999031884719,0,0,1,0,Menengah,2,105509.27945512987,-16.2674041556052
ACEH,MAKANAN,PERDESAANPERKOTAAN,2021,SEPTEMBER,418296.0,0.4485540142815201,0,0,1,1,Menengah,2,113385.27945515647,-16.250372107506667
ACEH,MAKANAN,PERDESAANPERKOTAAN,2022,MARET,438658.0,0.4732567252469422,0,0,1,0,Menengah,2,133747.27945844783,-16.20444184429821
ACEH,MAKANAN,PERDESAANPERKOTAAN,2022,SEPTEMBER,468255.0,0.5091631262116605,0,0,1,1,Menengah,2,163344.27945825696,-16.140596434568224
ACEH,NONMAKANAN,PERKOTAAN,2015,MARET,116717.0,0.08268529459578156,0,1,2,0,Sangat Rendah,1,-188193.72056171246,-16.912025683220925
ACEH,NONMAKANAN,PERKOTAAN,2015,SEPTEMBER,118196.0,0.08447958344353027,0,1,2,1,Sangat Rendah,1,-186714.72056162177,-16.908780526810453
ACEH,NONMAKANAN,PERKOTAAN,2016,MARET,121727.0,0.08876331158511286,0,1,2,0,Sangat Rendah,1,-183183.72055816196,-16.89912463815284
ACEH,NONMAKANAN,PERKOTAAN,2016,SEPTEMBER,125719.0,0.09360631434387748,0,1,2,1,Sangat Rendah,1,-179191.72055809648,-16.8904634337805
ACEH,NONMAKANAN,PERDESAAN,2015,MARET,84638.0,0.0437677882084044,0,1,0,0,Sangat Rendah,1,-220272.72056202608,-16.98151087860115
